Year1996,GFLOPS_n64,Year2001,GFLOPS_xbox
1996,0.1,,
1997,0.1414213562,,
1998,0.2,,
1999,0.2828427125,,
2000,0.4,,
2001,0.5656854249,2001,20
2002,0.8,2002,28.28427125
2003,1.13137085,2003,40
2004,1.6,2004,56.56854249
2005,2.2627417,2005,80
2006,3.2,2006,113.137085
2007,4.5254834,2007,160
2008,6.4,2008,226.27417
2009,9.050966799,2009,320
2010,12.8,2010,452.54834
2011,18.1019336,2011,640
2012,25.6,2012,905.0966799
2013,36.2038672,2013,1280
2014,51.2,2014,1810.19336
2015,72.40773439,2015,2560
2016,102.4,2016,3620.38672
2017,144.8154688,2017,5120
2018,204.8,2018,7240.773439
2019,289.6309376,2019,10240
2020,409.6,,